,source,target,retweetCount,hashtags
402,hugodel16107145,barevalodeleon,0,[]
403,siulhache,ubaldomacu,0,[]
404,siulhache,santipalomov,0,[]
405,siulhache,barevalodeleon,0,[]
406,jos216silver,__vadertg,0,[]
407,jos216silver,barevalodeleon,0,[]
408,jos216silver,usaidguate,0,[]
409,jos216silver,congresoguate,0,[]
410,gonzalezogm,bernardocaal2,0,[]
411,gonzalezogm,barevalodeleon,0,[]
412,qedwin84,ivanduque,0,[]
413,qedwin84,barevalodeleon,0,[]
414,dupin07,jadieguez84,0,[]
415,dupin07,barevalodeleon,0,[]
416,dupin07,wichomarg,0,[]
417,dupin07,barevalodeleon,0,[]
418,dupin07,alejochrislu,0,[]
419,dupin07,barevalodeleon,0,[]
420,dupin07,vanessaherrer02,0,"['CHILACAYOTE', 'borradoresdelahistoria']"
421,dupin07,barevalodeleon,0,"['CHILACAYOTE', 'borradoresdelahistoria']"
422,dupin07,cacifguatemala,0,"['CHILACAYOTE', 'borradoresdelahistoria']"
423,francisco37270,__vadertg,0,[]
424,francisco37270,barevalodeleon,0,[]
425,francisco37270,usaidguate,0,[]
426,francisco37270,congresoguate,0,[]
427,leyendoaca,anti_chairosgt,0,[]
428,leyendoaca,ubaldomacu,0,[]
429,leyendoaca,fjimenezmingob,0,[]
430,leyendoaca,barevalodeleon,0,[]
431,leyendoaca,ubaldomacu,0,[]
432,leyendoaca,fjimenezmingob,0,[]
433,leyendoaca,barevalodeleon,0,[]
434,leyendoaca,__vadertg,0,[]
435,dupin07,dejadezafiro,0,[]
436,dupin07,barevalodeleon,0,[]
437,luis_sutte31199,marinac91262,0,[]
438,luis_sutte31199,jczamora,0,[]
439,luis_sutte31199,ojguatemala,0,[]
440,luis_sutte31199,cidh,0,[]
441,luis_sutte31199,rele_cidh,0,[]
442,luis_sutte31199,pvacav,0,[]
443,luis_sutte31199,volker_turk,0,[]
444,luis_sutte31199,unhumanrights,0,[]
445,luis_sutte31199,barevalodeleon,0,[]
446,luis_sutte31199,pressfreedom,0,[]
447,luis_sutte31199,rsf_inter,0,[]
448,luis_sutte31199,rsf_esp,0,[]
449,luis_sutte31199,johanordonez,0,[]
450,humbert41818287,marielp82893334,0,[]
451,humbert41818287,ejercito_gt,0,[]
452,humbert41818287,srmindefgt,0,[]
453,humbert41818287,barevalodeleon,0,[]
454,lalpireze,nenucosm81863,0,[]
455,lalpireze,barevalodeleon,0,[]
456,lalpireze,mingobguate,0,[]
457,dupin07,rugar_v,0,[]
458,dupin07,barevalodeleon,0,[]
459,gerechtigkeit74,ivanduque,0,[]
460,gerechtigkeit74,barevalodeleon,0,[]
461,esequielmo90988,mendiamariela,0,[]
462,esequielmo90988,barevalodeleon,0,[]
463,elgranmigue,ivanduque,0,[]
464,elgranmigue,barevalodeleon,0,[]
465,elgranmigue,ivanduque,0,[]
466,elgranmigue,barevalodeleon,0,[]
467,dupin07,leraovalle,0,[]
468,dupin07,barevalodeleon,0,[]
469,elgranmigue,ivanduque,0,[]
470,elgranmigue,barevalodeleon,0,[]
471,elgranmigue,ivanduque,0,[]
472,elgranmigue,barevalodeleon,0,[]
473,alexanderrl1222,ivanduque,0,[]
474,alexanderrl1222,barevalodeleon,0,[]
475,net_gua,fjimenezmingob,2,[]
476,net_gua,barevalodeleon,2,[]
477,dupin07,barevalodeleon,0,[]
478,juanech62391322,ivanduque,0,[]
479,juanech62391322,barevalodeleon,0,[]
480,othmancgrstones,soy_502,0,[]
481,othmancgrstones,barevalodeleon,0,[]
482,dracul1964,omaricelaa,0,[]
483,dracul1964,nenucosm81863,0,[]
484,dracul1964,barevalodeleon,0,[]
485,dracul1964,mingobguate,0,[]
486,marinac91262,luis_sutte31199,0,[]
487,marinac91262,jczamora,0,[]
488,marinac91262,ojguatemala,0,[]
489,marinac91262,cidh,0,[]
490,marinac91262,rele_cidh,0,[]
491,marinac91262,pvacav,0,[]
492,marinac91262,volker_turk,0,[]
493,marinac91262,unhumanrights,0,[]
494,marinac91262,barevalodeleon,0,[]
495,marinac91262,pressfreedom,0,[]
496,marinac91262,rsf_inter,0,[]
497,marinac91262,rsf_esp,0,[]
498,marinac91262,johanordonez,0,[]
499,tumbadorense,emisorasunidas,0,[]
500,tumbadorense,mingobguate,0,[]
501,tumbadorense,ejercito_gt,0,[]
502,tumbadorense,barevalodeleon,0,[]
503,nosoynetcenter,ubaldomacu,1,[]
504,nosoynetcenter,fjimenezmingob,1,[]
505,nosoynetcenter,barevalodeleon,1,[]
506,edwinsantacru19,factor4_gt,0,[]
507,edwinsantacru19,barevalodeleon,0,[]
508,pajarraco47,salquevedo,0,[]
509,pajarraco47,sonny_figueroa,0,[]
510,pajarraco47,marvindelcid,0,[]
511,pajarraco47,voxpopuliguate,0,[]
512,pajarraco47,barevalodeleon,0,[]
513,pajarraco47,deawashingtondc,0,[]
514,mottoa_jai718,ivanduque,0,[]
515,mottoa_jai718,barevalodeleon,0,[]
516,querquitus,ivanduque,1,[]
517,querquitus,barevalodeleon,1,[]
518,frank2021r,ivanduque,0,[]
519,frank2021r,barevalodeleon,0,[]
520,borisoso62,__vadertg,0,[]
521,borisoso62,barevalodeleon,0,[]
522,borisoso62,usaidguate,0,[]
523,borisoso62,congresoguate,0,[]
524,freddyantgarcia,ivanduque,0,[]
525,freddyantgarcia,barevalodeleon,0,[]
526,vanessaherrer02,mpguatemala,0,[]
527,vanessaherrer02,barevalodeleon,0,[]
528,diegosam09xx,barevalodeleon,0,[]
529,xelanewsgt,guatemalagob,211,"['URGENTE', 'BernardoArévalo', 'Jutiapa', 'NoNosCallarán', 'XelaNews']"
530,willypin07,ivanduque,0,[]
531,willypin07,barevalodeleon,0,[]
532,willypin07,barevalodeleon,0,[]
533,willypin07,ivanduque,0,[]
534,willypin07,patoberna,0,[]
535,willypin07,ivanduque,0,[]
536,willypin07,barevalodeleon,0,[]
537,willypin07,petrogustavo,0,[]
538,willypin07,ivanduque,0,[]
539,willypin07,barevalodeleon,0,[]
540,emerson54692121,ivanduque,0,[]
541,emerson54692121,barevalodeleon,0,[]
542,emerson54692121,ivanduque,0,[]
543,emerson54692121,barevalodeleon,0,[]
544,seletiene211371,rincon001a,0,[]
545,seletiene211371,barevalodeleon,0,[]
546,seletiene211371,ivanduque,0,[]
547,edvinpaiz,factor4_gt,0,[]
548,edvinpaiz,barevalodeleon,0,[]
549,cristgkopp,ivanduque,0,[]
550,cristgkopp,barevalodeleon,0,[]
551,diegosam09xx,barevalodeleon,0,[]
552,prgatica04,sonny_figueroa,0,[]
553,prgatica04,marvindelcid,0,[]
554,prgatica04,voxpopuliguate,0,[]
555,prgatica04,barevalodeleon,0,[]
556,prgatica04,statedept,0,[]
557,zangiff,ivanduque,0,[]
558,zangiff,barevalodeleon,0,[]
559,josejorgemonroy,licopatron,0,[]
560,josejorgemonroy,soy_502,0,[]
561,josejorgemonroy,barevalodeleon,0,[]
562,juan45fer,ivanduque,0,[]
563,juan45fer,barevalodeleon,0,[]
564,cerberusedgar,ivanduque,0,[]
565,cerberusedgar,barevalodeleon,0,[]
566,jefferandom,ivanduque,0,[]
567,jefferandom,barevalodeleon,0,[]
568,arehann,ivanduque,0,[]
569,arehann,barevalodeleon,0,[]
570,ottogarciarive1,elquenews,0,[]
571,ottogarciarive1,bancadasemilla,0,[]
572,ottogarciarive1,barevalodeleon,0,[]
573,ottogarciarive1,avillagran502,0,[]
574,gonzalocepeda64,ivanduque,0,[]
575,gonzalocepeda64,barevalodeleon,0,[]
576,orottmann59372,benitoc67601310,0,[]
577,orottmann59372,arronchopa,0,[]
578,orottmann59372,barevalodeleon,0,[]
579,echotangolima,barevalodeleon,0,[]
580,andresga131,ivanduque,0,[]
581,andresga131,barevalodeleon,0,[]
582,alvaronavaspere,ivanduque,0,[]
583,alvaronavaspere,barevalodeleon,0,[]
584,pablillo_ortiz,barevalodeleon,0,[]
585,lagomez84022,mendiamariela,0,[]
586,lagomez84022,barevalodeleon,0,[]
587,kikempalm,rafaelcarrerra,0,[]
588,kikempalm,barevalodeleon,0,[]
589,kikempalm,__vadergt,0,[]
590,drjcvilleda,oco_motora,0,[]
591,drjcvilleda,__vadertg,0,[]
592,drjcvilleda,barevalodeleon,0,[]
593,drjcvilleda,usaidguate,0,[]
594,drjcvilleda,congresoguate,0,[]
595,josephhb458550,vozdeltuit,0,[]
596,josephhb458550,ejercito_gt,0,[]
597,josephhb458550,prensacomunitar,0,[]
598,josephhb458550,ejercito_gt,0,[]
599,josephhb458550,barevalodeleon,0,[]
600,novalibre,ivanduque,0,[]
601,novalibre,barevalodeleon,0,[]
602,novalibre,ivanduque,0,[]
603,novalibre,barevalodeleon,0,[]
604,josepai3524167,benitoc67601310,0,[]
605,josepai3524167,arronchopa,0,[]
606,josepai3524167,barevalodeleon,0,[]
607,salquevedo,soy_502,1,[]
608,salquevedo,barevalodeleon,1,[]
609,salquevedo,felixsinexcusas,1,[]
610,salquevedo,emisorasunidas,1,[]
611,salquevedo,sonny_figueroa,2,[]
612,salquevedo,marvindelcid,2,[]
613,salquevedo,voxpopuliguate,2,[]
614,salquevedo,barevalodeleon,2,[]
615,salquevedo,deawashingtondc,2,[]
616,jimmi_paz99373,benitoc67601310,0,[]
617,jimmi_paz99373,arronchopa,0,[]
618,jimmi_paz99373,barevalodeleon,0,[]
619,borys_ii,romeoruiz__,0,[]
620,borys_ii,fjimenezmingob,0,[]
621,borys_ii,barevalodeleon,0,[]
622,edwinvfuentes,mendiamariela,0,[]
623,edwinvfuentes,barevalodeleon,0,[]
624,rocksta57446063,pedgar05,0,[]
625,rocksta57446063,barevalodeleon,0,[]
626,sylviacalvillo,mendiamariela,0,[]
627,sylviacalvillo,barevalodeleon,0,[]
628,biofilopanklast,ivanduque,0,[]
629,biofilopanklast,barevalodeleon,0,[]
630,brianserrato11,ivanduque,0,[]
631,brianserrato11,barevalodeleon,0,[]
632,gus_pacheco10,mineducgt,0,[]
633,gus_pacheco10,barevalodeleon,0,[]
634,gus_pacheco10,karinherreravp,0,[]
635,luisgerman9,ivanduque,0,[]
636,luisgerman9,barevalodeleon,0,[]
637,luisgerman9,ivanduque,0,[]
638,cf422814711341,geme40241783,0,[]
639,cf422814711341,barevalodeleon,0,[]
640,benitoc67601310,jimmi_paz99373,0,[]
641,benitoc67601310,arronchopa,0,[]
642,benitoc67601310,barevalodeleon,0,[]
643,expiacion_49,festivalesgt,0,[]
644,expiacion_49,cerbatanameso,0,[]
